שם הקטגוריה,סוג הוצאה,קבוצה,רלוונטי ל,סדר תצוגה,הערות
ארנונה למגורים,fixed,דיור,both,1,
ארנונה לעסק,fixed,דיור,self_employed,2,
חשמל לבית,fixed,דיור,both,3,
חשמל לעסק,fixed,דיור,self_employed,4,
מים,fixed,דיור,both,5,
גז,fixed,דיור,both,6,
ועד בית,fixed,דיור,both,7,
דמי ניהול בבניין משרדים,fixed,דיור,self_employed,8,
שכירות למגורים,fixed,דיור,both,9,
שכירות משרד / קליניקה,fixed,דיור,self_employed,10,
משכנתא,fixed,דיור,both,11,
תיקונים בבית,fixed,דיור,both,12,
אחזקת מבנה / עסק,fixed,דיור,self_employed,13,
ניקיון בית,variable,דיור,both,14,
ניקיון עסק,fixed,דיור,self_employed,15,
ניקיון חיצוני / עוזרת,fixed,דיור,both,16,
גינון,fixed,דיור,both,17,
טכנאים (מזגן מקרר וכו'),fixed,דיור,both,18,
ציוד ניקיון / תחזוקה,variable,דיור,both,19,
ציוד לבית,variable,דיור,both,20,
רהיטים,special,דיור,both,21,
מכשירי חשמל,special,דיור,both,22,
אינטרנט ביתי,fixed,תקשורת,both,23,
טלפונים ניידים,fixed,תקשורת,both,24,
טלפונים עסקיים,fixed,תקשורת,self_employed,25,
טלוויזיה (YES / HOT / סלקום),fixed,תקשורת,both,26,
ביטוח חיים,fixed,ביטוחים,both,27,
ביטוח בריאות,fixed,ביטוחים,both,28,
ביטוח לאובדן כושר עבודה,fixed,ביטוחים,self_employed,29,
ביטוח רכב,fixed,ביטוחים,both,30,
ביטוח עסק,fixed,ביטוחים,self_employed,31,
ביטוח דירה,fixed,ביטוחים,both,32,
ביטוח פנסיה,fixed,ביטוחים,both,33,
ביטוח אחריות מקצועית,fixed,ביטוחים,self_employed,34,
ביטוח צד ג',fixed,ביטוחים,both,35,
ביטוח חובה לרכב,fixed,ביטוחים,both,36,
ביטוח חיות מחמד,fixed,ביטוחים,both,37,
ביטוח בריאות לעובדים,fixed,ביטוחים,self_employed,38,
הלוואות בנקאיות,fixed,פיננסים,both,39,
הלוואות עסקיות,fixed,פיננסים,self_employed,40,
עמלות בנק,variable,פיננסים,both,41,
דמי ניהול חשבון עסקי,fixed,פיננסים,self_employed,42,
דמי ניהול חשבון פרטי,fixed,פיננסים,employee,43,
הלוואות פנסיוניות,fixed,פיננסים,both,44,הלוואה מקרן פנסיה
הלוואות חוץ בנקאיות,fixed,פיננסים,both,45,הלוואות פרטיות
הלוואה מכרטיס אשראי,fixed,פיננסים,both,46,משיכות ומסגרת אשראי
תחבורה ציבורית,variable,רכב,both,47,
דלק,variable,רכב,both,48,
חניה,variable,רכב,both,49,
כביש 6 / כבישי אגרה,variable,רכב,both,50,
טיפולי רכב / מוסך,fixed,רכב,both,51,
טסט לרכב,fixed,רכב,both,52,
תשלומי רישוי רכב,fixed,רכב,both,53,
ציוד משרדי,variable,משרד,self_employed,54,
מחשבים וציוד טכנולוגי,special,משרד,both,55,
תוכנות ורישיונות,fixed,משרד,self_employed,56,
שירותי ענן,fixed,משרד,self_employed,57,
תחזוקת אתר אינטרנט,fixed,משרד,self_employed,58,
דומיין ואחסון,fixed,משרד,self_employed,59,
ציוד טכני לעסק,fixed,משרד,self_employed,60,
ריהוט משרדי,special,משרד,self_employed,61,
תפעול מערכות ניהול,fixed,משרד,self_employed,62,
תחזוקת מחשבים,fixed,משרד,self_employed,63,
אבטחת מידע,fixed,משרד,self_employed,64,
מנויים דיגיטליים (נטפליקס ספוטיפיי),variable,מנויים,both,65,
מנויים עסקיים (Canva ChatGPT Adobe וכו'),fixed,מנויים,self_employed,66,
קורסים ולמידה אישית,variable,לימודים,both,67,
הכשרות מקצועיות,fixed,לימודים,self_employed,68,
קורסים אונליין,variable,לימודים,both,69,
השתלמויות מקצועיות,fixed,לימודים,self_employed,70,
ספרים ולימודים,variable,לימודים,both,71,
הדרכות צוות,special,לימודים,self_employed,72,
השתלמות מקצועית,variable,לימודים,both,73,קורסים סדנאות כנסים
שיווק ופרסום,variable,שיווק,self_employed,74,
קמפיינים דיגיטליים,variable,שיווק,self_employed,75,
עיצוב גרפי,variable,שיווק,self_employed,76,
הדפסות ודפוס,variable,שיווק,self_employed,77,
יועץ עסקי / פיננסי,variable,ייעוץ,self_employed,78,
רואה חשבון,fixed,ייעוץ,self_employed,79,
ייעוץ משפטי,variable,ייעוץ,self_employed,80,
הנהלת חשבונות,fixed,ייעוץ,self_employed,81,
שכר טרחה,variable,ייעוץ,both,82,עו"ד רו"ח יועצים מקצועיים
מיסים ומקדמות מס,fixed,מיסים,self_employed,83,
דמי ביטוח לאומי,fixed,מיסים,both,84,
מע"מ,fixed,מיסים,both,85,
אגרת רישוי עסק,fixed,מיסים,self_employed,86,
אגרות ומסים חריגים,special,מיסים,self_employed,87,
מס הכנסה,fixed,מיסים,both,88,
מס בריאות,fixed,מיסים,both,89,
מזון ומשקאות,variable,מזון,both,90,
קניות סופר,variable,מזון,both,91,
מסעדות,variable,מזון,both,92,
ביגוד,variable,אישי,both,93,
קוסמטיקה וטיפוח,variable,אישי,both,94,
חופשות,special,בילויים,both,95,
בילויים ובידור,variable,בילויים,both,96,
חינוך גנים ובתי ספר,fixed,חינוך,both,97,
חוגים לילדים,fixed,חינוך,both,98,
שיעורים פרטיים,variable,חינוך,both,99,
קייטנות,special,חינוך,both,100,
גני ילדים פרטיים,fixed,חינוך,both,101,
ציוד לימודי (לילדים),variable,חינוך,employee,102,
תשלומי ועד הורים,variable,חינוך,both,103,
צעצועים ומתנות לילדים,variable,חינוך,both,104,
טיפול רגשי / פסיכולוג,variable,בריאות,both,105,
קופת חולים,fixed,בריאות,both,106,
טיפולים רפואיים פרטיים,variable,בריאות,both,107,
תרופות,fixed,בריאות,both,108,
טיפולי שיניים,fixed,בריאות,both,109,
רופא משפחה פרטי,variable,בריאות,both,110,
תרומות,variable,מתנות,both,111,
מתנות,variable,מתנות,both,112,
ימי הולדת,variable,מתנות,both,113,
הוצאות משפטיות,special,משפטי,both,114,
אירועים משפחתיים (חתונה בר מצווה וכו'),special,אירועים,both,115,
הוצאות על חיות מחמד,variable,חיות מחמד,both,116,
שכר עובדים,fixed,עובדים,self_employed,117,
בונוסים והטבות,variable,עובדים,self_employed,118,
תשלומי פנסיה לעובדים,fixed,עובדים,self_employed,119,
הוצאות רווחה לעובדים,variable,עובדים,self_employed,120,
נסיעות לעובדים,variable,עובדים,self_employed,121,
תשלום משכורת,special,עובדים,both,122,תשלום שכר לעובדים
שירותים כלליים,variable,שירותים,both,123,
שירותי תיקונים,variable,שירותים,both,124,
שירותי ניקיון,variable,שירותים,both,125,
שירותי גינון,variable,שירותים,both,126,
שירותים מקצועיים,variable,שירותים,both,127,
שירותי מחשוב,variable,שירותים,both,128,
חיוב כרטיס אשראי,special,העברות פיננסיות,both,129,העברה שמצריכה סריקת דוח אשראי
משיכת מזומן,special,העברות פיננסיות,both,130,המרה של כסף דיגיטלי למזומן




