,רשימת קטגוריות והוצאות לפי סיווג,,,
סדר תצוגה,שם הקטגוריה,סוג הוצאה,קבוצה,רלוונטי ל
1,ארנונה למגורים,קבועה,דיור,שניהם
2,ארנונה לעסק,קבועה,דיור,עצמאי
3,חשמל לבית,קבועה,דיור,שניהם
4,חשמל לעסק,קבועה,דיור,עצמאי
5,מים למגורים,קבועה,דיור,שניהם
5,מים לעסק,קבועה,דיור,שניהם
6,גז,קבועה,דיור,שניהם
7,ועד בית,קבועה,דיור,שניהם
8,דמי ניהול בבניין משרדים,קבועה,דיור,עצמאי
9,שכירות למגורים,קבועה,דיור,שניהם
10,שכירות משרד / קליניקה,קבועה,דיור,עצמאי
11,תיקונים בבית,קבועה,דיור,שניהם
12,אחזקת מבנה / עסק,קבועה,דיור,עצמאי
13,ניקיון עסק,קבועה,דיור,עצמאי
14,ניקיון חיצוני / עוזרת,קבועה,דיור,שניהם
15,גינון לעסק,קבועה,דיור,שניהם
16,גינון למגורים,קבועה,דיור,שניהם
17,טכנאים (מזגן מקרר וכו') לעסק,קבועה,דיור,שניהם
18,תרופות,קבועה,בריאות,שניהם
19,טיפולי שיניים,קבועה,בריאות,שניהם
20,קופת חולים,קבועה,בריאות,שניהם
21,אינטרנט ביתי,קבועה,תקשורת,שניהם
22,אינטרנט עיסקי,קבועה,תקשורת,שניהם
23,טלפונים ניידים,קבועה,תקשורת,שניהם
24,טלפונים עסקיים,קבועה,תקשורת,עצמאי
25,טלוויזיה (YES / HOT / סלקום),קבועה,תקשורת,שניהם
26,ביטוח חיים,קבועה,ביטוחים,שניהם
27,ביטוח בריאות,קבועה,ביטוחים,שניהם
28,ביטוח מבנה מגורים,קבועה,ביטוחים,שניהם
29,ביטוח מבנה עסקי,קבועה,ביטוחים,שניהם
30,ביטוח תכולהמגורים,קבועה,ביטוחים,שניהם
31,ביטוח תכולה עסקי,קבועה,ביטוחים,שניהם
32,מס הכנסה,קבועה,מיסים,שניהם
33,מס בריאות,קבועה,מיסים,שניהם
34,יועץ עסקי / פיננסי,קבועה,ייעוץ,עצמאי
35,רואה חשבון,קבועה,ייעוץ,עצמאי
36,ייעוץ משפטי שוטף,קבועה,ייעוץ,עצמאי
37,הנהלת חשבונות,קבועה,ייעוץ,עצמאי
38,שכר טרחה שוטף,קבועה,ייעוץ,שניהם
39,אגרת רישוי עסק,קבועה,מיסים,עצמאי
40,מיסים ומקדמות מס,קבועה,מיסים,עצמאי
41,דמי ביטוח לאומי,קבועה,מיסים,שניהם
42,"מע""מ",קבועה,מיסים,שניהם
43,ביטוח לאובדן כושר עבודה,קבועה,ביטוחים,עצמאי
44,ביטוח רכב,קבועה,ביטוחים,שניהם
45,ביטוח עסק,קבועה,ביטוחים,עצמאי
46,ביטוח דירה,קבועה,ביטוחים,שניהם
47,חיסכון פנסיוני,קבועה,ביטוחים,שניהם
48,ביטוח אחריות מקצועית,קבועה,ביטוחים,עצמאי
49,ביטוח צד ג',קבועה,ביטוחים,שניהם
50,ביטוח חובה לרכב,קבועה,ביטוחים,שניהם
51,ביטוח חיות מחמד,קבועה,ביטוחים,שניהם
52,ביטוח בריאות לעובדים,קבועה,ביטוחים,עצמאי
53,חינוך גנים ובתי ספר,קבועה,חינוך,שניהם
54,חוגים לילדים,קבועה,חינוך,שניהם
55,שיעורים פרטיים,קבועה,חינוך,שניהם
56,גני ילדים פרטיים,קבועה,חינוך,שניהם
57,הלוואות בנקאיות,קבועה,פיננסים,שניהם
58,הלוואות עסקיות,קבועה,פיננסים,עצמאי
59,עמלות בנק פרטי,קבועה,פיננסים,שניהם
60,עמלות בנק עסקי,קבועה,פיננסים,שניהם
61,דמי ניהול חשבון עסקי,קבועה,פיננסים,עצמאי
62,דמי ניהול חשבון פרטי,קבועה,פיננסים,שכיר
63,הלוואה פרטית מהבנק,קבועה,פיננסים,שכיר
64,הלוואה עסקית מהבנק,קבועה,פיננסים,עצמאי
65,הלוואת משכנתא למגורים,קבועה,פיננסים,שכיר
66,הלוואת משכנתא לעסק,קבועה,פיננסים,עצמאי
67,הלוואת משכנתא הפוכה,קבועה,פיננסים,שניהם
68,הלוואות פנסיוניות,קבועה,פיננסים,שניהם
69,הלוואות חוץ בנקאיות פרטית,קבועה,פיננסים,שניהם
70,הלוואות חוץ בנקאיות עסקית,קבועה,פיננסים,שניהם
71,הלוואה מכרטיס אשראי פרטי,קבועה,פיננסים,שניהם
72,הלוואה מכרטיס אשראי עסקי,קבועה,פיננסים,שניהם
73,טסט לרכב,קבועה,רכב,שניהם
74,תשלומי רישוי רכב,קבועה,רכב,שניהם
75,תוכנות ורישיונות,קבועה,משרד,עצמאי
76,שירותי ענן,קבועה,משרד,עצמאי
77,תחזוקת אתר אינטרנט,קבועה,משרד,עצמאי
78,דומיין ואחסון,קבועה,משרד,עצמאי
79,ציוד טכני לעסק,קבועה,משרד,עצמאי
80,תפעול מערכות ניהול,קבועה,משרד,עצמאי
81,תחזוקת מחשבים,קבועה,משרד,עצמאי
82,אבטחת מידע,קבועה,משרד,עצמאי
83,מנויים דיגיטליים (נטפליקס ספוטיפיי),קבועה,מנויים,שניהם
84,מנויים עסקיים (Canva ChatGPT Adobe וכו'),קבועה,מנויים,עצמאי
85,קורסים ולמידה אישית,קבועה,לימודים,שניהם
86,הכשרות מקצועיות,קבועה,לימודים,עצמאי
87,קורסים אונליין,קבועה,לימודים,שניהם
88,השתלמויות מקצועיות,קבועה,לימודים,עצמאי
89,הדרכות צוות מיוחד שוטף,קבועה,לימודים,עצמאי
90,תחבורה ציבורית,משתנה,רכב,שניהם
91,דלק,משתנה,רכב,שניהם
92,חניה,משתנה,רכב,שניהם
